type,title,original_title,year,tvdb_id,tmdb_id,favorite,list_status,added_at,for_later_at,stopped_watching_at,hidden_at
movie,Bird Box,Bird Box,2018,,405774,no,following,2025-12-23T06:14:24.000Z,,,
movie,Captain America: The First Avenger,Captain America: The First Avenger,2011,,1771,no,following,2025-12-23T06:13:37.000Z,,,
movie,Toy Story,Toy Story,1995,,862,no,following,2025-12-23T06:13:34.000Z,,,
movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,,22,no,following,2025-12-23T06:13:23.000Z,,,
movie,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017,,353486,no,following,2025-12-23T06:13:18.000Z,,,
movie,Up,Up,2009,,14160,no,following,2025-12-23T06:13:13.000Z,,,
movie,Avatar: Fire and Ash,Avatar: Fire and Ash,2025,,83533,no,following,2025-12-23T06:12:28.000Z,,,
movie,Argo,Argo,2012,,68734,no,following,2025-12-23T06:05:35.000Z,,,
movie,Limitless,Limitless,2011,,51876,no,following,2025-12-22T16:51:41.000Z,,,
movie,The Green Mile,The Green Mile,1999,,497,no,for_later,2025-12-22T12:04:31.000Z,2025-12-22T12:04:31.000Z,,
movie,Catch Me If You Can,Catch Me If You Can,2002,,640,no,following,2025-12-21T08:16:34.000Z,,,
movie,The Departed,The Departed,2006,,1422,no,for_later,2025-12-20T17:05:10.000Z,2025-12-20T17:05:10.000Z,,
movie,Inglourious Basterds,Inglourious Basterds,2009,,16869,no,following,2025-12-19T11:48:20.000Z,,,
movie,Joker,Joker,2019,,475557,no,following,2025-12-18T13:39:44.000Z,,,
movie,Justice League,Justice League,2017,,141052,no,following,2025-12-17T13:06:39.000Z,,,
movie,The Hurt Locker,The Hurt Locker,2008,,12162,no,following,2025-12-17T12:53:38.000Z,,,
movie,Memento,Memento,2000,,77,no,following,2025-12-16T11:37:37.000Z,,,
movie,Saving Private Ryan,Saving Private Ryan,1998,,857,no,following,2025-12-16T05:41:19.000Z,,,
movie,The Silence of the Lambs,The Silence of the Lambs,1991,,274,no,following,2025-12-15T16:10:00.000Z,,,
